draw_no,date,n1,n2,n3,n4,n5,n6,bonus,sales,w1_prize,w1_winners,w2_prize,w2_winners,w3_prize,w3_winners,w4_prize,w4_winners,w5_prize,w5_winners,auto,semi_auto,manual
633,2015-01-17,9,12,19,20,39,41,13,62015797000,1217257094,12,51798175,47,1360825,1789,50000,87613,5000,1430227,8.0,0.0,4.0
634,2015-01-24,4,10,11,12,20,27,38,63149567000,1077935106,13,43250483,54,1057757,2208,50000,101514,5000,1562975,10.0,0.0,3.0
635,2015-01-31,11,13,25,26,29,33,32,62429621000,1855587235,8,70689038,35,1499465,1650,50000,85675,5000,1427626,7.0,0.0,1.0
636,2015-02-07,6,7,15,16,20,31,26,62786394000,1832362219,8,55526128,44,1238292,1973,50000,90830,5000,1461300,5.0,0.0,3.0
637,2015-02-14,3,16,22,37,38,44,23,63504865000,3899241094,4,57766535,45,1587963,1637,50000,82147,5000,1369826,2.0,0.0,2.0
638,2015-02-21,7,18,22,24,31,34,6,64319586000,2229403179,7,63438302,41,1513072,1719,50000,84781,5000,1422596,5.0,0.0,2.0
639,2015-02-28,6,15,22,23,25,32,40,66202599000,4061185219,4,60165707,45,1663058,1628,50000,84861,5000,1439719,1.0,0.0,3.0
640,2015-03-07,14,15,18,21,26,35,23,64080502000,1728768834,9,54024027,48,1582156,1639,50000,85410,5000,1404905,7.0,1.0,1.0
641,2015-03-14,11,18,21,36,37,43,12,63773134000,1990074563,8,53068655,50,1695485,1565,50000,79145,5000,1340371,5.0,0.0,3.0
642,2015-03-21,8,17,18,24,39,45,32,63544224000,1251460438,12,40369692,62,1379020,1815,50000,88406,5000,1465689,7.0,1.0,4.0
643,2015-03-28,15,24,31,32,33,40,13,63110068000,2535763625,6,58971248,43,1662796,1525,50000,84656,5000,1407225,3.0,0.0,3.0
644,2015-04-04,5,13,17,23,28,36,8,61846599000,1831451204,8,49835407,49,1299593,1879,50000,87582,5000,1401744,5.0,0.0,3.0
645,2015-04-11,1,4,16,26,40,41,31,62661756000,3696297750,4,88007090,28,1395356,1766,50000,87873,5000,1444728,3.0,0.0,1.0
646,2015-04-18,2,9,24,41,43,45,30,62308090000,2215498393,7,71798560,36,1698258,1522,50000,77400,5000,1321212,6.0,0.0,1.0
647,2015-04-25,5,16,21,23,24,30,29,62314338000,2189725608,7,58060907,44,1600677,1596,50000,79202,5000,1351926,5.0,1.0,1.0
648,2015-05-02,13,19,28,37,38,43,4,60874405000,2120987947,7,54988577,45,1517159,1631,50000,80986,5000,1318403,4.0,1.0,2.0
649,2015-05-09,3,21,22,33,41,42,20,60473178000,2948042100,5,54593373,45,1454531,1689,50000,80347,5000,1313125,5.0,0.0,0.0
650,2015-05-16,3,4,7,11,31,41,35,60991082000,2849298900,5,52764795,45,1308940,1814,50000,87030,5000,1429743,3.0,0.0,2.0
651,2015-05-23,11,12,16,26,29,44,18,61494891000,1855306454,8,70678342,35,1468968,1684,50000,82567,5000,1365832,7.0,0.0,1.0
652,2015-05-30,3,13,15,40,41,44,20,60426977000,3003483525,5,69525082,36,1664165,1504,50000,75739,5000,1280663,1.0,0.0,4.0
653,2015-06-06,5,6,26,27,38,39,1,59716037000,980958670,14,40873278,56,1146172,1997,50000,88995,5000,1419408,5.0,0.0,9.0
654,2015-06-13,16,21,26,31,36,43,6,60697813000,1879301391,8,36315003,69,1402203,1787,50000,77788,5000,1282725,6.0,0.0,2.0
655,2015-06-20,7,37,38,39,40,44,18,60434801000,1661439625,9,60784377,41,1547926,1610,50000,77437,5000,1281655,7.0,0.0,2.0
656,2015-06-27,3,7,14,16,31,40,39,61328118000,7330002750,2,50902797,48,1398589,1747,50000,83772,5000,1385757,2.0,0.0,0.0
657,2015-07-04,10,14,19,39,40,43,23,61769837000,1694762792,9,48887389,52,1627494,1562,50000,78396,5000,1325593,5.0,0.0,4.0
658,2015-07-11,8,19,25,28,32,36,37,61131243000,1634031375,9,64501239,38,1460696,1678,50000,82738,5000,1364069,7.0,0.0,2.0
659,2015-07-18,7,18,19,27,29,42,45,61677747000,1336604216,11,61261027,40,1388352,1765,50000,85028,5000,1396789,7.0,0.0,4.0
660,2015-07-25,4,9,23,33,39,44,14,60813322000,1421272575,10,49349743,48,1214141,1951,50000,88247,5000,1408802,6.0,2.0,2.0
661,2015-08-01,2,3,12,20,27,38,40,59597375000,1713025547,8,36254509,63,1248107,1830,50000,87840,5000,1426883,5.0,0.0,3.0
662,2015-08-08,5,6,9,11,15,37,26,59164542000,1689733688,8,52394844,43,1260761,1787,50000,88493,5000,1426759,6.0,0.0,2.0
663,2015-08-15,3,5,8,19,38,42,20,61100704000,2080244143,7,40449192,60,1491673,1627,50000,84092,5000,1386028,3.0,2.0,2.0
664,2015-08-22,10,20,33,36,41,44,5,61921689000,1536801338,10,58212172,44,1674076,1530,50000,77395,5000,1320082,7.0,0.0,3.0
665,2015-08-29,5,6,11,17,38,44,13,61885874000,3643230375,4,80960675,30,1356883,1790,50000,87227,5000,1430205,2.0,0.0,2.0
666,2015-09-05,2,4,6,11,17,28,16,62652917000,2396901063,6,50997895,47,1231074,1947,50000,93631,5000,1493940,1.0,0.0,5.0
667,2015-09-12,15,17,25,37,42,43,13,63421632000,2228764393,7,65005629,40,1685176,1543,50000,81344,5000,1368363,7.0,0.0,0.0
668,2015-09-19,12,14,15,24,27,32,3,63346405000,2991158625,5,44511290,56,1330824,1873,50000,89414,5000,1452289,2.0,0.0,3.0
669,2015-09-26,7,8,20,29,33,38,9,67952211000,2708173188,6,52080254,52,1389520,1949,50000,93078,5000,1531364,4.0,0.0,2.0
670,2015-10-03,11,18,26,27,40,41,25,62242687000,1191725219,12,61114114,39,1111166,2145,50000,92680,5000,1483948,7.0,0.0,5.0
671,2015-10-10,7,9,10,13,31,35,24,63940807000,3722322844,4,51698929,48,1395697,1778,50000,90364,5000,1519963,2.0,1.0,1.0
672,2015-10-17,8,21,28,31,36,45,43,63542330000,1754745000,9,57219946,46,1615788,1629,50000,80167,5000,1341175,6.0,0.0,3.0
673,2015-10-24,7,10,17,29,33,44,5,63163578000,1491453300,10,71021586,35,1333560,1864,50000,88838,5000,1450769,5.0,1.0,4.0
674,2015-10-31,9,10,14,25,27,31,11,61386974000,1770565500,8,49182375,48,1278849,1846,50000,89646,5000,1465031,3.0,0.0,5.0
675,2015-11-07,1,8,11,15,18,45,7,60458623000,3514549032,4,36046657,65,1297361,1806,50000,88118,5000,1415830,1.0,2.0,1.0
676,2015-11-14,1,8,17,34,39,45,27,62147642000,1879726500,8,39782572,63,1505287,1665,50000,83276,5000,1371921,5.0,1.0,2.0
677,2015-11-21,12,15,24,36,41,44,42,62267624000,1921114407,8,69229348,37,1505871,1701,50000,79827,5000,1330115,2.0,0.0,6.0
678,2015-11-28,4,5,6,12,25,37,45,60887293000,2288490188,6,55816834,41,1233688,1855,50000,93305,5000,1494095,5.0,0.0,1.0
679,2015-12-05,3,5,7,14,26,34,35,62220918000,2863005600,5,44182186,54,1304450,1829,50000,91171,5000,1493041,2.0,1.0,2.0
680,2015-12-12,4,10,19,29,32,42,30,64245201000,1110570563,14,58893894,44,1385739,1870,50000,86441,5000,1413980,5.0,0.0,9.0
681,2015-12-19,21,24,27,29,43,44,7,63268253000,2696328938,6,72873756,37,1871152,1441,50000,73062,5000,1282079,6.0,0.0,0.0
682,2015-12-26,17,23,27,35,38,43,2,66757858000,4063713563,4,48377543,56,1463611,1851,50000,87618,5000,1464978,4.0,0.0,0.0
683,2016-01-02,6,13,20,27,28,40,15,71940091000,1010930883,16,59907016,45,996974,2704,50000,117974,5000,1700964,6.0,2.0,8.0
684,2016-01-09,1,11,15,17,25,39,40,66623887000,1688815709,9,40858445,62,1287208,1968,50000,98607,5000,1623161,9.0,0.0,0.0
685,2016-01-16,6,7,12,28,38,40,18,69126675000,1494367671,11,52686040,52,1434385,1910,50000,95302,5000,1576169,8.0,0.0,3.0
686,2016-01-23,7,12,15,24,25,43,13,65274010000,1937531719,8,71760435,36,1386676,1863,50000,91027,5000,1483730,5.0,0.0,3.0
687,2016-01-30,1,8,10,13,28,42,45,68044669000,2720029313,6,71579719,38,1528107,1780,50000,91404,5000,1538380,6.0,0.0,0.0
688,2016-02-06,5,15,22,23,34,35,2,73095612000,1967536750,9,55685003,53,1400715,2107,50000,97676,5000,1610713,5.0,0.0,4.0
689,2016-02-13,7,17,19,30,36,38,34,67460147000,2321775911,7,61562241,44,1497368,1809,50000,90296,5000,1509073,5.0,0.0,2.0
690,2016-02-20,24,25,33,34,38,39,43,69142025000,1126507625,15,82831444,34,1589317,1772,50000,87970,5000,1528472,3.0,0.0,12.0
691,2016-02-27,15,27,33,35,43,45,16,68590328000,2839296750,6,91590218,31,1662352,1708,50000,86063,5000,1455528,6.0,0.0,0.0
692,2016-03-05,3,11,14,15,32,36,44,66390499000,2301273697,7,61018621,44,1516848,1770,50000,87763,5000,1465709,4.0,0.0,3.0
693,2016-03-12,1,6,11,28,34,42,30,67352935000,1642763813,10,63673016,43,1618168,1692,50000,87017,5000,1484420,8.0,1.0,1.0
694,2016-03-19,7,15,20,25,33,43,12,67533257000,1555036388,10,33227274,78,1133739,2286,50000,102474,5000,1581822,3.0,1.0,6.0
695,2016-03-26,4,18,26,33,34,38,14,67672085000,1450214830,11,40283746,66,1343471,1979,50000,95436,5000,1558885,6.0,2.0,3.0
696,2016-04-02,1,7,16,18,34,38,21,67542971000,1632054413,10,61820243,44,1580530,1721,50000,90020,5000,1501952,6.0,0.0,4.0
697,2016-04-09,2,5,8,11,33,39,31,66966141000,1531443038,10,28360057,90,1315673,1940,50000,99698,5000,1615786,7.0,1.0,2.0
698,2016-04-16,3,11,13,21,33,37,18,66283268000,1921084125,8,53363448,48,1226746,2088,50000,97965,5000,1550364,5.0,1.0,2.0
699,2016-04-23,4,5,8,16,21,29,3,66743146000,1995411375,8,53210970,50,1478905,1799,50000,90504,5000,1512397,6.0,1.0,1.0
700,2016-04-30,11,23,28,29,30,44,13,66846276000,2082099188,8,67710543,41,1777294,1562,50000,82874,5000,1414076,6.0,1.0,1.0
701,2016-05-07,3,10,14,16,36,38,35,64454138000,1583183175,10,65965966,40,1590500,1659,50000,81917,5000,1404422,8.0,1.0,1.0
702,2016-05-14,3,13,16,24,26,29,9,66219854000,1465091387,11,58391324,46,1476636,1819,50000,88043,5000,1443954,4.0,0.0,7.0
703,2016-05-21,10,28,31,33,41,44,21,65728988000,3235784100,5,52872290,51,1568637,1719,50000,84194,5000,1416580,5.0,0.0,0.0
704,2016-05-28,1,4,8,23,33,42,45,65930117000,3865190344,4,54825395,47,1351938,1906,50000,95021,5000,1519932,1.0,0.0,3.0
705,2016-06-04,1,6,17,22,28,45,23,65859843000,3987206532,4,54247708,49,1472653,1805,50000,87931,5000,1453654,3.0,0.0,1.0
706,2016-06-11,3,4,6,10,28,30,37,65723488000,3831746063,4,50088184,51,1211811,2108,50000,95376,5000,1531393,3.0,0.0,1.0
707,2016-06-18,2,12,19,24,39,44,35,66813924000,1322167313,12,35734252,74,1318213,2006,50000,94281,5000,1507647,6.0,0.0,6.0
708,2016-06-25,2,10,16,19,34,45,1,66806307000,4099552219,4,52558362,52,1596399,1712,50000,86091,5000,1446865,3.0,0.0,1.0
709,2016-07-02,10,18,30,36,39,44,32,65592504000,1165271625,14,61794708,44,1603165,1696,50000,82305,5000,1385853,12.0,0.0,2.0
710,2016-07-09,3,4,9,24,25,33,10,65083972000,2895441150,5,42331011,57,1212497,1990,50000,102058,5000,1627229,1.0,0.0,4.0
711,2016-07-16,11,15,24,35,37,45,42,66152746000,2277413358,7,60385961,44,1424656,1865,50000,89898,5000,1465123,3.0,0.0,4.0
712,2016-07-23,17,20,30,31,33,45,19,66136318000,4034485125,4,57226740,47,1557416,1727,50000,86066,5000,1449521,3.0,0.0,1.0
713,2016-07-30,2,5,15,18,19,23,44,64646552000,1714720917,9,51441628,50,1436115,1791,50000,87920,5000,1470125,6.0,1.0,2.0
714,2016-08-06,1,7,22,33,37,40,20,64099989000,2085131733,7,52883776,46,1198943,2029,50000,96576,5000,1551993,3.0,0.0,4.0
715,2016-08-13,2,7,27,33,41,44,10,65794607000,2605510438,6,42713286,61,1391090,1873,50000,90747,5000,1503174,4.0,1.0,1.0
716,2016-08-20,2,6,13,16,29,30,21,67040169000,1358752157,12,77642981,35,1559096,1743,50000,88628,5000,1469730,12.0,0.0,0.0
717,2016-08-27,2,11,19,25,28,32,44,68597839000,2702433688,6,57498590,47,1369015,1974,50000,96836,5000,1567530,2.0,0.0,4.0
718,2016-09-03,4,11,20,23,32,39,40,69400763000,926166464,17,41002162,64,1091572,2404,50000,114614,5000,1595315,7.0,0.0,10.0
719,2016-09-10,4,8,13,19,20,43,26,71378392000,1879581334,9,48609863,58,1395729,2020,50000,99906,5000,1627784,9.0,0.0,0.0
720,2016-09-17,1,12,29,34,36,37,41,69939090000,1233770358,14,77805338,37,1619122,1778,50000,88260,5000,1505233,9.0,0.0,5.0
721,2016-09-24,1,28,35,41,43,44,31,71627567000,2273767360,8,75792246,40,1886553,1607,50000,84770,5000,1464353,7.0,0.0,1.0
722,2016-10-01,12,14,21,30,39,43,45,69446489000,4365422719,4,63266996,46,1724101,1688,50000,84912,5000,1439078,4.0,0.0,0.0
723,2016-10-08,20,30,33,35,36,44,22,67750231000,2114365360,8,70478846,40,1586469,1777,50000,85141,5000,1412967,3.0,1.0,4.0
724,2016-10-15,2,8,33,35,37,41,14,69987274000,1427789813,12,51919630,55,1557873,1833,50000,90083,5000,1528970,8.0,0.0,4.0
725,2016-10-22,6,7,19,21,41,43,38,70208676000,1579217250,11,61600673,47,1612943,1795,50000,88359,5000,1504907,7.0,0.0,4.0
726,2016-10-29,1,11,21,23,34,44,24,68799295000,1166872634,14,48619694,56,1297143,2099,50000,96718,5000,1556425,7.0,2.0,5.0
727,2016-11-05,7,8,10,19,21,31,20,67559139000,1115107742,14,29907105,87,1260620,2064,50000,99271,5000,1600135,10.0,0.0,4.0
728,2016-11-12,3,6,10,30,34,37,36,68306112000,3243464400,5,48265840,56,1446168,1869,50000,94693,5000,1559062,5.0,0.0,0.0
729,2016-11-19,11,17,21,26,36,45,16,68784161000,4198250719,4,79966681,35,1492712,1875,50000,89560,5000,1504682,3.0,0.0,1.0
730,2016-11-26,4,10,14,15,18,22,39,66934105000,2017382110,8,59774285,45,1544999,1741,50000,88791,5000,1501752,6.0,0.0,2.0
731,2016-12-03,2,7,13,25,42,45,39,69239673000,2340471054,7,60678880,45,1431106,1908,50000,96083,5000,1594258,2.0,0.0,5.0
732,2016-12-10,2,4,5,17,27,32,43,68645948000,2203270608,7,57121831,45,1247202,2061,50000,104583,5000,1705993,4.0,0.0,3.0
733,2016-12-17,11,24,32,33,35,40,13,69321488000,4016725125,4,46979242,57,1362064,1966,50000,101369,5000,1633952,2.0,1.0,1.0
734,2016-12-24,6,16,37,38,41,45,18,71457582000,1949395500,9,81224813,36,1663307,1758,50000,92514,5000,1542069,8.0,0.0,1.0
735,2016-12-31,5,10,13,27,37,41,4,77488209000,1847231588,10,61574387,50,1356862,2269,50000,107013,5000,1752740,7.0,0.0,3.0
736,2017-01-07,2,11,17,18,21,27,6,73510203000,3397362225,5,52428430,54,1258283,2250,50000,107357,5000,1747634,4.0,0.0,1.0
737,2017-01-14,13,15,18,24,27,41,11,70775944000,4283061000,4,59486959,48,1474122,1937,50000,94183,5000,1567166,3.0,0.0,1.0
738,2017-01-21,23,27,28,38,42,43,36,71768122000,1634191091,11,62417021,48,1826840,1640,50000,88050,5000,1502685,9.0,1.0,1.0
739,2017-01-28,7,22,29,33,34,35,30,77999661000,4744122282,4,70283294,45,1628604,1942,50000,101983,5000,1719739,4.0,0.0,0.0
740,2017-02-04,4,8,9,16,17,19,31,75186520000,936929792,18,65367195,43,1148668,2447,50000,115722,5000,1864169,12.0,1.0,5.0
741,2017-02-11,5,21,27,34,44,45,16,74392585000,3043595938,6,55338108,55,1664077,1829,50000,95007,5000,1619435,5.0,0.0,1.0
742,2017-02-18,8,10,13,36,37,40,6,73857792000,1111814813,16,67382716,44,1492870,1986,50000,98348,5000,1658556,11.0,1.0,4.0
743,2017-02-25,15,19,21,34,41,44,10,73436852000,2608641000,7,66161185,46,1535527,1982,50000,91886,5000,1555362,5.0,0.0,2.0
744,2017-03-04,10,15,18,21,34,41,43,73507293000,1155411575,15,47352934,61,1039414,2779,50000,109229,5000,1636793,8.0,0.0,7.0
745,2017-03-11,1,2,3,9,12,23,10,73575119000,746822982,20,22631000,110,674272,3692,50000,141918,5000,1955276,7.0,2.0,11.0
746,2017-03-18,3,12,33,36,42,45,25,74239579000,2038623709,9,52723027,58,1606059,1904,50000,94197,5000,1589291,8.0,1.0,0.0
747,2017-03-25,7,9,12,14,23,28,17,73337880000,1903214584,9,48386812,59,1287696,2217,50000,105307,5000,1713003,3.0,0.0,6.0
748,2017-04-01,3,10,13,22,31,32,29,72750277000,1928246542,9,49023218,59,1493222,1937,50000,99448,5000,1652756,7.0,0.0,2.0
749,2017-04-08,12,14,24,26,34,45,41,72252889000,1350104395,13,45706660,64,1473666,1985,50000,95573,5000,1589197,8.0,1.0,4.0
750,2017-04-15,1,2,15,19,24,36,12,72248100000,2522104286,7,66873978,44,1653994,1779,50000,93135,5000,1585532,5.0,1.0,1.0
751,2017-04-22,3,4,16,20,28,44,17,71534233000,2097968110,8,40540447,69,1265743,2210,50000,102632,5000,1651438,4.0,2.0,2.0
752,2017-04-29,4,16,20,33,40,43,7,71600822000,1870358834,9,37407177,75,1377966,2036,50000,102477,5000,1646451,6.0,0.0,3.0
753,2017-05-06,2,17,19,24,37,41,3,68915001000,2711105063,6,46743191,58,1401813,1934,50000,97566,5000,1578072,2.0,0.0,4.0
754,2017-05-13,2,8,17,24,29,31,32,70765850000,3427542000,5,57125700,50,1538947,1856,50000,93279,5000,1573739,5.0,0.0,0.0
755,2017-05-20,13,14,26,28,30,36,37,71300635000,2214427266,8,54677217,54,1600309,1845,50000,89745,5000,1508502,6.0,0.0,2.0
756,2017-05-27,10,14,16,18,27,28,4,70992946000,3414434700,5,53686081,53,1524846,1866,50000,94800,5000,1598715,5.0,0.0,0.0
757,2017-06-03,6,7,11,17,33,44,1,71053002000,739839858,21,38079993,68,974573,2657,50000,117353,5000,1788667,11.0,1.0,9.0
758,2017-06-10,5,9,12,30,39,43,24,71764259000,2078969954,8,43999365,63,1277401,2170,50000,106121,5000,1680080,2.0,2.0,4.0
759,2017-06-17,9,33,36,40,42,43,32,72632208000,3032670500,6,68924330,44,1722130,1761,50000,88543,5000,1525518,4.0,0.0,2.0
760,2017-06-24,10,22,27,31,42,43,12,72200797000,2253299391,8,66764427,45,1717782,1749,50000,89221,5000,1520831,6.0,0.0,2.0
761,2017-07-01,4,7,11,24,42,45,30,71415903000,2392730518,7,53683057,52,1305058,2139,50000,101503,5000,1660130,4.0,0.0,3.0
762,2017-07-08,1,3,12,21,26,41,16,70558895000,1631432063,10,51302896,53,1330261,2044,50000,103406,5000,1671344,4.0,0.0,6.0
763,2017-07-15,3,8,16,32,34,43,10,70652100000,2138130000,8,63352000,45,1412006,2019,50000,94176,5000,1562106,4.0,0.0,4.0
764,2017-07-22,7,22,24,31,34,36,15,70318932000,2459975465,7,65226623,44,1504178,1908,50000,90896,5000,1530979,6.0,0.0,1.0
765,2017-07-29,1,3,8,12,42,43,33,70972360000,1109214250,15,51352512,54,1307419,2121,50000,101653,5000,1643849,5.0,0.0,10.0
766,2017-08-05,9,30,34,35,39,41,21,69500769000,2173637297,8,70687392,41,1671386,1734,50000,85422,5000,1458764,6.0,1.0,1.0
767,2017-08-12,5,15,20,31,34,42,22,71285599000,1163768725,15,63248301,46,1527256,1905,50000,92437,5000,1549115,8.0,0.0,7.0
768,2017-08-19,7,27,29,30,38,44,4,72306975000,1363572260,13,55743521,53,1597841,1849,50000,93126,5000,1572387,12.0,0.0,1.0
769,2017-08-26,5,7,11,16,41,45,4,72873431000,1930760042,9,52657093,55,1476117,1962,50000,99272,5000,1660799,6.0,0.0,3.0
770,2017-09-02,1,9,12,23,39,43,34,74166379000,2163099329,8,38455100,75,1252882,2302,50000,108450,5000,1717526,5.0,0.0,3.0
771,2017-09-09,6,10,17,18,21,29,30,73545939000,4362644907,4,59355714,49,1415984,2054,50000,102013,5000,1680976,3.0,0.0,1.0
772,2017-09-16,5,6,11,14,21,41,32,74375369000,1769608838,10,55648077,53,1455032,2027,50000,103023,5000,1688350,4.0,0.0,6.0
773,2017-09-23,8,12,19,21,31,35,44,74560597000,1609403080,11,50871937,58,1409061,2094,50000,104474,5000,1690404,4.0,0.0,7.0
774,2017-09-30,12,15,18,28,34,42,9,77347021000,1709721512,11,52241491,60,1602500,1956,50000,101524,5000,1704279,10.0,1.0,0.0
775,2017-10-07,11,12,29,33,38,42,17,70795452000,3470437650,5,78163011,37,1682392,1719,50000,91297,5000,1539325,5.0,0.0,0.0
776,2017-10-14,8,9,18,21,28,40,20,74826082000,2557579393,7,59676853,50,1491176,2001,50000,102081,5000,1687650,4.0,1.0,2.0
777,2017-10-21,6,12,17,21,34,37,18,75534360000,833468036,21,44199063,66,1208926,2413,50000,111938,5000,1766635,10.0,0.0,11.0
778,2017-10-28,6,21,35,36,37,41,11,75075606000,6264069500,3,46746788,67,1809379,1731,50000,92126,5000,1575045,3.0,0.0,0.0
779,2017-11-04,6,12,19,24,34,41,4,73773676000,1527709296,11,42436370,66,1118978,2503,50000,114464,5000,1751447,5.0,1.0,5.0
780,2017-11-11,15,17,19,21,27,45,16,74232084000,1667520137,11,67936006,45,1818632,1681,50000,92630,5000,1605516,10.0,0.0,1.0
781,2017-11-18,11,16,18,19,24,39,43,72483157000,1882891542,9,54314180,52,1435861,1967,50000,102959,5000,1699786,7.0,0.0,2.0
782,2017-11-25,6,18,31,34,38,45,20,72253973000,1946487625,9,59586356,49,1426347,2047,50000,96821,5000,1585617,8.0,0.0,1.0
783,2017-12-02,14,15,16,17,38,45,36,73525256000,4603964625,4,85258605,36,1642221,1869,50000,90899,5000,1532640,3.0,0.0,1.0
784,2017-12-09,3,10,23,24,31,39,22,74311382000,1908678000,9,56137589,51,1268506,2257,50000,115089,5000,1699421,5.0,0.0,4.0
785,2017-12-16,4,6,15,25,26,33,40,72974563000,2886622688,6,52484049,55,1463805,1972,50000,100062,5000,1678240,6.0,0.0,0.0
786,2017-12-23,12,15,16,20,24,30,38,75930156000,4551365250,4,31606704,96,1470080,2064,50000,103000,5000,1708226,2.0,2.0,0.0
787,2017-12-30,5,6,13,16,27,28,9,79593923000,3092108313,6,60629575,51,1321979,2339,50000,114842,5000,1863599,3.0,0.0,3.0
788,2018-01-06,2,10,11,19,35,39,29,78121882000,1401475154,13,43378993,70,1345384,2257,50000,112504,5000,1828701,7.0,0.0,6.0
789,2018-01-13,2,6,7,12,19,45,38,76136603000,1140976825,15,40749173,70,1170473,2437,50000,118089,5000,1868863,8.0,1.0,6.0
790,2018-01-20,3,8,19,27,30,41,12,78978881000,1160516274,16,52452713,59,1280394,2417,50000,113336,5000,1812992,4.0,1.0,11.0
791,2018-01-27,2,10,12,31,33,42,32,74205844000,1253081893,14,76943625,38,1213219,2410,50000,102931,5000,1713102,5.0,0.0,9.0
792,2018-02-03,2,7,19,25,29,36,16,76339003000,2655736768,7,47667071,65,1582411,1958,50000,99185,5000,1684675,6.0,0.0,1.0
793,2018-02-10,10,15,21,35,38,43,31,76177477000,3750146775,5,51231514,61,1529674,2043,50000,98216,5000,1635392,5.0,0.0,0.0
794,2018-02-17,6,7,18,19,30,38,13,79941579000,2650940304,7,68728082,45,1186331,2607,50000,116809,5000,1877646,6.0,0.0,1.0
795,2018-02-24,3,10,13,26,34,38,36,79661342000,1714977000,11,50711686,62,1297617,2423,50000,111043,5000,1825105,6.0,0.0,5.0
796,2018-03-03,1,21,26,36,40,41,5,77685943000,2763490340,7,70088524,46,1678331,1921,50000,96701,5000,1643069,7.0,0.0,0.0
797,2018-03-10,5,22,31,32,39,45,36,77339940000,2397028125,8,94001103,34,1710941,1868,50000,97900,5000,1641334,8.0,0.0,0.0
798,2018-03-17,2,10,14,22,32,36,41,77038759000,2710791911,7,52709843,60,1488979,2124,50000,98988,5000,1653851,3.0,0.0,4.0
799,2018-03-24,12,17,23,34,42,45,33,76708986000,1826427225,10,54357954,56,1357737,2242,50000,107519,5000,1725236,6.0,0.0,4.0
800,2018-03-31,1,4,10,12,28,45,26,76994062000,1632246205,11,58675518,51,1373315,2179,50000,110956,5000,1801924,7.0,1.0,3.0
801,2018-04-07,17,25,28,37,43,44,2,74034792000,2256786657,8,59000959,51,1505278,1999,50000,97006,5000,1618941,6.0,1.0,1.0
802,2018-04-14,10,11,12,18,24,42,27,75146781000,1082947993,16,43102408,67,1308501,2207,50000,107980,5000,1814300,5.0,0.0,11.0
803,2018-04-21,5,9,14,26,30,43,2,75670793000,3663810225,5,61063504,50,1458059,2094,50000,102413,5000,1657869,4.0,0.0,1.0
804,2018-04-28,1,10,13,26,32,36,9,74557028000,1631996523,11,61061095,49,1460935,2048,50000,100907,5000,1659443,5.0,1.0,5.0
805,2018-05-05,3,12,13,18,31,32,42,73065981000,4266061969,4,53661157,53,1370623,2075,50000,105602,5000,1700112,3.0,1.0,0.0
806,2018-05-12,14,20,23,31,37,38,27,74030583000,2640760875,7,54050662,57,1665345,1850,50000,91180,5000,1561838,5.0,1.0,1.0
807,2018-05-19,6,10,18,25,34,35,33,73831580000,2437662322,7,48202363,59,1226365,2319,50000,108300,5000,1749855,2.0,0.0,5.0
808,2018-05-26,15,21,31,32,41,43,24,74911438000,3087620500,6,67122185,46,1573711,1962,50000,95319,5000,1597761,4.0,0.0,2.0
809,2018-06-02,6,11,15,17,23,40,39,74214104000,2921372750,6,52167371,56,1340695,2179,50000,104350,5000,1703714,6.0,0.0,0.0
810,2018-06-09,5,10,13,21,39,43,11,74388355000,2231598047,8,46491626,64,1449325,2053,50000,100608,5000,1672013,6.0,0.0,2.0
811,2018-06-16,8,11,19,21,36,45,25,74570813000,2524148197,7,60098767,49,1369057,2151,50000,104155,5000,1703788,4.0,1.0,2.0
812,2018-06-23,1,3,12,14,16,43,10,74147816000,2947954750,6,43352276,68,1491880,1976,50000,100498,5000,1693074,3.0,1.0,2.0
813,2018-06-30,11,30,34,35,42,44,27,73394947000,4591763157,4,71190127,43,1700654,1800,50000,89323,5000,1548384,4.0,0.0,0.0
814,2018-07-07,2,21,28,38,42,45,30,74316543000,3067192063,6,58984463,52,1673319,1833,50000,93837,5000,1585777,3.0,0.0,3.0
815,2018-07-14,17,21,25,26,27,36,4,73416400000,2579855358,7,77175161,39,1767371,1703,50000,92977,5000,1596140,5.0,2.0,0.0
816,2018-07-21,12,18,19,29,31,39,7,72397826000,2128107938,8,42350407,67,1374747,2064,50000,102402,5000,1675799,6.0,0.0,2.0
817,2018-07-28,3,9,12,13,25,43,34,72552766000,1868477334,9,51902149,54,1355279,2068,50000,105276,5000,1718171,2.0,1.0,6.0
818,2018-08-04,14,15,25,28,29,30,3,71793353000,1380804318,13,76711351,39,1621541,1845,50000,90205,5000,1490497,8.0,1.0,4.0
819,2018-08-11,16,25,33,38,40,45,15,74578907000,2594534840,7,61774640,49,1527995,1981,50000,97667,5000,1638089,4.0,0.0,3.0
820,2018-08-18,10,21,22,30,35,42,6,75744571000,4627313532,4,51414595,60,1552530,1987,50000,99433,5000,1644326,3.0,0.0,1.0
821,2018-08-25,1,12,13,24,29,44,16,76118239000,1316155956,14,55836920,55,1462396,2100,50000,101082,5000,1687355,8.0,0.0,6.0
822,2018-09-01,9,18,20,24,27,36,12,75681739000,5930898625,3,37537334,79,1377357,2153,50000,108789,5000,1735565,1.0,1.0,1.0
